Stock,IPO_Date
ANSS,1996-06-20
BRO,1981-02-11
CSGP,1998-07-01
MPWR,2004-11-19
GDDY,2015-03-31
TSCO,1994-02-17
STT,1980-03-17
CAH,1983-08-04
GPN,2001-01-16
FITB,1980-03-17
XYL,2011-10-13
HPE,2015-10-19
KEYS,2014-10-20
DOW,2019-03-20
EQR,1993-08-12
ON,2000-05-02
PPG,1980-03-17
K,1952-01-08
SW,2024-07-08
NUE,1980-03-17
EL,1995-11-17
BR,2007-03-22
WBD,2005-07-08
TPL,1980-03-17
CHD,1980-03-17
MTD,1997-11-14
DOV,1980-03-17
TYL,1980-03-17
FTV,2016-07-05
TROW,1986-04-02
VLTO,2023-10-04
EQT,1980-03-17
SYF,2014-07-31
NVR,1985-07-22
DTE,1970-01-02
VTR,1997-05-05
AWK,2008-04-23
ADM,1980-03-17
NTAP,1995-11-21
WST,1980-03-17
CPAY,2010-12-15
PPL,1980-03-17
LYB,2010-04-28
AEE,1998-01-02
EXPE,2005-07-21
HBAN,1980-03-17
CDW,2013-06-27
FE,1997-11-10
HUBB,1972-06-05
HAL,1972-06-01
ROL,1980-03-17
PHM,1980-03-17
CINF,1980-03-17
PTC,1989-12-08
WRB,1973-10-23
DRI,1995-05-09
FOXA,2019-03-12
FOX,2019-03-13
IFF,1974-12-17
SBAC,1999-06-16
WAT,1995-11-17
ERIE,1995-10-02
TDY,1999-11-23
ATO,1983-12-28
RF,1980-03-17
BIIB,1991-09-17
ZBH,2001-07-25
CNP,1970-01-02
MKC,1999-04-26
ES,1973-02-21
WDC,1978-10-31
TSN,1980-03-17
TER,1970-09-14
STE,1992-06-01
PKG,2000-01-28
CLX,1983-03-21
NTRS,1980-03-17
ZBRA,1991-08-15
DVN,1985-07-22
CBOE,2010-06-15
WY,1973-05-03
LUV,1980-01-02
ULTA,2007-10-25
CMS,1987-05-01
INVH,2017-02-01
FSLR,2006-11-17
BF-B,1980-03-17
LDOS,2006-10-17
CFG,2014-09-24
LH,1990-03-29
VRSN,1998-01-30
IP,1970-01-02
ESS,1994-06-07
PODD,2007-05-15
COO,1983-01-21
SMCI,2007-03-29
STX,2002-12-11
MAA,1994-01-28
FDS,1996-06-28
NRG,2003-12-02
BBY,1985-04-18
SNA,2017-03-02
L,1980-03-17
PFG,2001-10-23
STLD,1996-11-22
TRMB,1990-07-20
OMC,1980-03-17
CTRA,1990-02-08
HRL,1980-03-17
ARE,1997-05-28
BLDR,2005-06-28
JBHT,1983-11-22
GEN,1989-06-23
DGX,1996-12-17
KEY,1987-11-05
NI,1962-12-16
MOH,2003-07-02
PNR,1973-05-03
J,1980-03-17
DG,2009-11-13
BALL,1972-07-13
NWS,2013-06-19
NWSA,2013-06-19
UDR,1980-03-17
HOLX,1990-03-01
JBL,1993-05-03
GPC,1980-03-17
IEX,1989-06-02
MAS,1980-03-17
KIM,1991-11-22
ALGN,2001-01-30
DLTR,1995-03-07
EXPD,1984-09-26
EG,1995-10-03
MRNA,2018-12-07
LNT,1988-01-05
AVY,1977-04-04
BAX,1981-10-27
TPR,2000-10-06
VTRS,1980-03-17
CF,2005-08-11
FFIV,1999-06-04
DPZ,2004-07-13
AKAM,1999-10-29
RL,1997-06-12
TXT,1947-12-22
SWKS,1984-09-07
EVRG,2018-06-04
EPAM,2012-02-08
DOC,1985-05-23
APTV,2011-11-17
RVTY,1965-07-06
AMCR,2012-05-15
REG,1993-10-29
POOL,1995-10-13
INCY,1993-11-04
BXP,1997-06-18
KMX,1997-02-04
CAG,1980-03-17
HST,1980-03-17
JKHY,1985-11-20
SWK,1980-03-17
DVA,1995-10-31
CPB,1954-12-13
CHRW,1997-10-16
JNPR,1999-06-25
CPT,1993-07-22
TAP,1975-06-12
NDSN,1980-03-18
PAYC,2014-04-15
UHS,1981-07-09
NCLH,2013-01-18
DAY,2018-04-26
SJM,1994-10-31
TECH,1989-02-09
SOLV,2024-04-01
ALLE,2013-11-18
BG,2001-08-02
AIZ,2004-02-05
IPG,1980-03-17
BEN,1983-09-23
EMN,1993-12-14
ALB,1994-02-22
MGM,1988-05-02
AOS,1983-09-30
WYNN,2002-10-25
PNW,1961-08-28
ENPH,2012-03-30
LKQ,2003-10-06
FRT,1973-05-03
CRL,2000-06-23
GNRC,2010-02-11
AES,1991-06-26
GL,1980-10-01
LW,2016-11-10
HSIC,1995-11-03
MKTX,2004-11-05
MTCH,1993-01-19
TFX,1980-03-17
WBA,1980-03-17
HAS,1980-03-17
IVZ,1995-08-25
APA,1979-05-15
MOS,1988-01-26
PARA,2005-12-05
MHK,1992-04-01
CE,2005-01-21
HII,2011-03-22
CZR,2014-09-22
BWA,1993-08-13
QRVO,2015-01-02
FMC,1980-03-17
AMTM,2024-09-24
